Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
"Casa o chalet en Carrer D'antoni Capmany, 84, Sant Feliu de Guíxols ",380.000 €,-,4 habs.,2 baños,287 m²,girona
"Piso con terraza en Carrer Algavira, Sant Feliu de Guíxols ",101.000 €, 15.665 €,2 habs.,1 baño,81 m²,girona
"Piso con 2 baños en Carrer Nostra Senyora de Fanals, Castell-Platja d'Aro ",230.000 €,-,3 habs.,2 baños,70 m²,girona
"Casa o chalet con piscina en Orbita, Lloret de Mar ",300.000 €,-,4 habs.,2 baños,189 m²,girona
Casa o chalet con piscina en Lloret de Mar ,450.000 €,-,3 habs.,3 baños,229 m²,girona
Casa o chalet con piscina en Calonge ,1.900.000 €,-,4 habs.,4 baños,386 m²,girona
"Piso con ascensor en Pla de Fenals, Lloret de Mar ",220.000 €,-,3 habs.,2 baños,115 m²,girona
Piso con ascensor en Girona Capital ,225.000 €,-,2 habs.,1 baño,78 m²,girona
Planta baja con piscina en Roses ,113.000 €,-,1 hab.,1 baño,50 m²,girona
"Apartamento con terraza en Josep Mundet, Calonge ",758.000 €,-,3 habs.,2 baños,95 m²,girona
"Apartamento en Carrer de Queralbs, 7f, Castell-Platja d'Aro ",199.000 €,-,2 habs.,2 baños,66 m²,girona
"Apartamento en Del Mar, 24, Palamós ",390.000 €, 10.000 €,1 hab.,1 baño,50 m²,girona
Casa o chalet con terraza en Darnius ,235.000 €,-,4 habs.,1 baño,144 m²,girona
Piso con balcón en Figueres ,225.000 €,-,3 habs.,2 baños,117 m²,girona
"Piso en Carrer Moll, Palamós ",446.000 €,-,3 habs.,2 baños,127 m²,girona
"Apartamento en Carrer del Pintor Enric Serra, 55, L'Escala ",320.000 €,-,3 habs.,2 baños,94 m²,girona
"Piso con 1 baño en Avinguda de Passapera, Lloret de Mar ",130.000 €,-,1 hab.,1 baño,48 m²,girona
"Dúplex con balcón en Carrer Joan Alsina, Girona Capital ",220.000 €, 10.000 €,2 habs.,2 baños,70 m²,girona
"Apartamento con piscina en De Besalú a Roses, Roses ",139.500 €,-,1 hab.,1 baño,61 m²,girona
Apartamento con terraza en Calonge ,1.050.000 €, 250.000 €,4 habs.,3 baños,251 m²,girona
Casa o chalet con 1 baño en Maçanet de la Selva ,150.000 €, 30.000 €,3 habs.,1 baño,85 m²,girona
Piso con terraza en Tossa de Mar ,230.000 €, 17.000 €,4 habs.,1 baño,99 m²,girona
"Piso en Carrer Prat de la Riba, 4, Castelló d'Empúries ",104.000 €, 8.000 €,3 habs.,1 baño,80 m²,girona
"Piso con balcón en Taialà , Girona Capital ",189.000 €,-,4 habs.,2 baños,125 m²,girona
"Apartamento en Carrer Nostra Senyora de Montserrat, 5, Castell-Platja d'Aro ",735.000 €,-,3 habs.,2 baños,140 m²,girona
"Piso en Montserrat Roig, 17, Vilablareix ",270.000 €,-,3 habs.,2 baños,93 m²,girona
"Piso en Tarragona, 7, Lloret de Mar ",127.000 €,-,4 habs.,2 baños,83 m²,girona
"Planta baja en Carrer Doctor Barraquer, 43, Roses ",155.000 €, 14.000 €,2 habs.,1 baño,66 m²,girona
"Ático en Santa Eugenia, 102, Girona Capital ",278.000 €, 19.000 €,3 habs.,1 baño,85 m²,girona
"Casa o chalet en Carrer Perdiu, Sant Feliu de Guíxols ",395.000 €, 55.000 €,5 habs.,3 baños,240 m²,girona
"Piso en Carrer la Garrotxa, 21, Castell-Platja d'Aro ",319.000 €, 30.000 €,3 habs.,2 baños,83 m²,girona
"Piso en Carrer Sa Musclera, 1, Castell-Platja d'Aro ",275.000 €, 30.000 €,2 habs.,1 baño,71 m²,girona
"Ático con terraza en C/ Església, Castell-Platja d'Aro ",399.000 €, 50.000 €,4 habs.,3 baños,168 m²,girona
"Apartamento con terraza en Avinguda del Cavall Bernat, Castell-Platja d'Aro ",210.000 €,-,2 habs.,2 baños,91 m²,girona
"Piso con terraza en Calle Espronceda, Blanes ",80.000 €,-,1 hab.,1 baño,58 m²,girona
"Piso con terraza en Ronda Ferran Puig, Girona Capital ",300.000 €,-,3 habs.,3 baños,124 m²,girona
"Piso con terraza en Carrer de Barcelona, Girona Capital ",370.000 €,-,4 habs.,2 baños,101 m²,girona
"Planta baja con terraza en Carretera de Sant Feliu a Sant Pol Per la Costa, Sant Feliu de Guíxols ",410.000 €, 10.000 €,3 habs.,2 baños,90 m²,girona
"Apartamento con piscina en Travessia del Carrer Major, Calonge ",548.000 €,-,2 habs.,2 baños,77 m²,girona
"Casa o chalet con piscina en Carrer Armallader, Sant Feliu de Guíxols ",1.350.000 €,-,4 habs.,3 baños,285 m²,girona
